=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.26 10:53:44 =~=~=~=~=~=~=~=~=~=~=~=
3755, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
3765, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
3775, 0.00, 27.00, 17.47, 0.20, STANDBY, NONE
3785, 0.39, 27.00, 17.47, 0.20, STANDBY, NONE
3795, 0.39, 27.00, 17.49, 0.20, STANDBY, NONE
3805, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
3815, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
3825, 0.00, 27.00, 17.49, 0.20, STANDBY, NONE
3835, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
3845, 0.39, 27.00, 17.49, 0.20, STANDBY, NONE
3855, 0.00, 27.00, 17.44, 0.19, STANDBY, NONE
3865, 0.00, 27.00, 17.47, 0.20, STANDBY, NONE
3875, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
3885, 0.00, 27.00, 17.49, 0.20, STANDBY, NONE
3895, 0.00, 27.00, 17.44, 0.19, STANDBY, NONE
3905, 0.00, 27.00, 17.47, 0.19, STANDBY, NONE
3915, 0.39, 27.00, 17.47, 0.19, STANDBY, NONE
3926, 0.00, 27.00, 17.47, 0.19, STANDBY, NONE
3936, 0.00, 27.00, 17.49, 0.19, STANDBY, NONE
3946, 0.00, 27.00, 17.49, 0.19, STANDBY, NONE
3956, 0.00, 27.00, 17.49, 0.19, STANDBY, NONE
3966, 0.39, 27.00, 17.47, 0.20, STANDBY, NONE
3976, 0.00, 27.00, 17.49, 0.20, STANDBY, NONE
3986, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
3996, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
4006, 0.00, 27.00, 17.44, 0.19, STANDBY, NONE
4016, 0.39, 27.00, 17.44, 0.19, STANDBY, NONE
4026, 0.00, 27.00, 17.47, 0.19, STANDBY, NONE
4036, 0.00, 27.00, 17.44, 0.19, STANDBY, NONE
4046, 0.39, 27.00, 17.47, 0.19, STANDBY, NONE
4056, 0.00, 27.00, 17.44, 0.19, STANDBY, NONE
4066, 0.00, 27.00, 17.47, 0.19, STANDBY, NONE
4076, 0.39, 27.00, 17.47, 0.19, STANDBY, NONE
4086, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
4096, 0.00, 27.00, 17.44, 0.19, STANDBY, NONE
4106, 0.39, 27.00, 17.47, 0.19, STANDBY, NONE
